product_title,parent_asin,rating,review_title,review_text,timestamp,verified_purchase,helpful_vote,date,year
"Pure Label Nutrition 100% USA Grass Fed Whey Protein Concentrate, 5lb Unflavored, Non-GMO, rBGH Free, Soy Free, Gluten Free, Low Carbs and Low Fat, No Sugar Added, Keto Friendly",B07941MJT6,4.0,The chocolate was better than the unflavored...,....by a million miles. But it still had an underlying taste I didn’t find amazing. Switched to isolate by now sport. Much happier!<br /><br />Note: had to throw out the unflavored 5 lb halfway through the container because it developed a smell to go along with the odd taste... not happy about that.,1606603244472,True,0,2020-11-28 22:40:44.472,2020
"Ketologic KetoEnergy BHB with Caffeine, Grape | Beta-Hydrobutyrate Salts Ketone Powder Supplement | Supports Low-Carb, Keto Diet & Pre-Workout | 30 Servings",B07H7PCX9Y,1.0,Returned it,"Taste awful, couldn't sleep, then couldn't stay awake when needed!",1620475115279,True,0,2021-05-08 11:58:35.279,2021
"Isopure Unflavored Protein, 25g Whey Isolate, with Vitamin C & Zinc for Immune Support, Zero Carb & Keto Friendly, 3 Pounds (Packaging May Vary)",B0BPV9WMFK,5.0,"No flavor AT ALL and blends smoothly, no gritty texture!","I am so pleased with this!!!! I have been looking kind of on and off for years for a good protein powder to help boost my protein intake but all that I have tried have been beyond disgusting! Even when I tried different brands and flavors. A coworker of mine recommended this one and I just tried it today in a morning smoothie. It's wonderful!!!!!! No flavor AT ALL!! It blended smoothly with no gritty texture whatsoever, I didn't even know it was there. I now feel comfortable buying a big container when I'm out of the small bag I bought. Just keep in mind that it is whey so if you are lactose intolerant or have issues with milk or what not you may want to try something different.",1606615444096,True,0,2020-11-29 02:04:04.096,2020
"FITCRUNCH Snack Size Protein Bars, Designed by Robert Irvine, 6-Layer Baked Bar, 3g of Sugar & Soft Cake Core (9 Bars, Apple Pie)",B0BQFKDJ44,5.0,Very satisfying for a sweet tooth,"All the proteiny goodness that satisfies my sweet tooth. Love this bar, it has very low sugar/carbs, tons of protein and tastes like real chickpea caramel cookie. Reminds me of Twix a lot, but better and gooder for you. Yes I know gooder isn’t a word",1585367536521,False,0,2020-03-28 03:52:16.521,2020
"Ascent 100% Whey Protein Powder - Post Workout Whey Protein Isolate, Zero Artificial Flavors & Sweeteners, Soy & Gluten Free, 5.7g BCAA, 2.7g Leucine, Essential Amino Acids, Vanilla Bean 2 lb",B0C7HN5XKY,5.0,good quality ingredients. good pricing,the taste is pretty good. the pricing is great,1590580931034,True,0,2020-05-27 12:02:11.034,2020
"Wholesome Wellness Multi Collagen Protein Powder Hydrolyzed (Type I II III V X) Grass-Fed All-in-One Super Bone Broth + Collagen Peptides - Premium Beef, Chicken, Wild Fish, Eggshell Collagen",B07L48J4HW,4.0,Multi Collagen Protein Powder,I purchased because of the many health ingredients it have to offer but I don't see a big difference with this compared to the Vital Peptide for women.,1629926663237,True,0,2021-08-25 21:24:23.237,2021
"Nick's Swedish-Style Snack Bar, Chocolate Caramel, Keto Protein Bar, 12g Protein, Low Carb, Low Sugar, Meal Replacement Bar, Keto-Friendly Snack,12-Count",B0C1QVYLDR,5.0,YUM!,"The bars are DELICIOUS! They taste just like a candy bar. Of course there’s the classic layer of protein bar but it’s covered by caramel, peanuts, and chocolate. The only problem is the price. They are a little expensive but for a sweet treat (that doesn’t taste like diet food) they are great.",1626379225365,True,1,2021-07-15 20:00:25.365,2021
"POWERLIFE Tony Horton High Impact Grass Fed Whey Protein with 3000 MG of HMB, No Sugar Added, Non-GMO, Hormone and Antibiotic Free, 15 Servings (Chocolate)",B09JXSKDY5,5.0,Taste good,Need to shake well,1625878325927,True,2,2021-07-10 00:52:05.927,2021
"Zammex 100% Grass-Fed Beef Bone Broth Protein Powder, 20G Protein, Hydrolyzed Collagen Peptides Type 1&3, Supports Healthy Skin, Nails, Hair, Joints, Non-GMO, Gluten Free, Paleo & Keto Friendly",B0C69C7KMQ,5.0,"Makes for tasty, comforting sipping broth, 8 grams collagen (7 grams protein) per serving","I really like this! I have the flavored (turmeric) option, and it is better than expected. When I see powdered ""bone broth"", I basically expect zero flavor (which is fine as it is the collagen I am after), but this flavored variety isn't just a ""flavored"" plain powder, it actually tastes like broth. And not just turmeric, but an interesting ""sipping broth"" with depth of flavor. Not too salty, but it does have 210 mg per serving. I am enjoying it a lot during these extra cold winter days. Take a look at the ingredient list in their product picture, and you will see that it has a soup broth tasting vibe to it.<br /><br />NOTE ON COLLAGEN. The ""beef broth propriety blend"" states that is has 12.9 grams. Within this blend there is collagen. You may be wondering how much exactly. Little trick: collagen and protein have a near 1:1 ratio. The protein has to be listed separately on a nutrition label. This label says it has 7 grams of protein per serving, SO given this, you will know that there is 7-8 grams of collagen per serving.<br /><br />The directions say to use 1 scoop in hot or warm water, but not how much water. I assumed 8 ounces, and I think that is accurate. I used two scoops in a 16 ounce mason jar (maybe filled 14 ounces of water), and that tasted very nice. I drank it as is, but it would work great with some added protein, noodles, veggies, etc added in. Could add to other broth, or whatever.<br /><br />4.5 stars, but making it 5 because I like it more than 4 (and we cant do half stars). ALSO, I just added another tub to my cart so that says somethinbg. The current 30% coupon makes it more reasonably priced than the $29 price tag",1645368825402,False,4,2022-02-20 14:53:45.402,2022
"NaturesPlus SPIRU-TEIN Shake - Peaches & Cream Flavor - 2.2 lbs, Spirulina Protein Powder - Plant Based Meal Replacement, Vitamins & Minerals for Energy - Vegetarian, Gluten-Free - 30 Servings",B0929JHHC3,5.0,thanks,nice,1605797878201,True,0,2020-11-19 14:57:58.201,2020
